created,text,,,,,,,,,,,,,,,,
12/6/2021 7:42,Philando Castile #BlackLivesMatter,,,,,,,,,,,,,,,,
12/6/2021 7:41,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for theÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:41,RT @_webshareztv: @GainmutuallT Éùœã˜è @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlackÉ?›,,,,,,,,,,,,,,,,
,RT @OneInAnARMY: ARMY,,,,,,,,,,,,,,,,
,You #MatchedAMillion–???,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12/6/2021 7:41,"It's really amazing to see so many of you coming together to support #BlackLivesMatter. ThankÉ?›""",,,,,,,,,,,,,,,,
,RT @dolphinscheer: #BlackLivesMatter is more than a hashtag. ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12/6/2021 7:40,"Shayla discusses the importance of representing @Blklivesmatter for #MyCauseÉ?›""",,,,,,,,,,,,,,,,
12/6/2021 7:40,"RT @iCarlyFan2009: God, Father Of Jesus. Lord Of Our Sky. See what happened on the news in the past, Than help us put a stop to it. Help UsÉ?›",,,,,,,,,,,,,,,,
12/6/2021 7:39,RT @_webshareztv: @GainmutuallT Éùœã˜è @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlackÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:39,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that wÉ?›",,,,,,,,,,,,,,,,
,"RT @meiklwagner: Breakout - Swing Out Sister, 1987, Mercury Records.",,,,,,,,,,,,,,,,
,On YouTube: https://t.co/tJnf5rGIhQ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
12/6/2021 7:39,"#FridaysForFuture #Berlin–??? #cinemÉ?›""",,,,,,,,,,,,,,,,
12/6/2021 7:38,RT @LordLivi: Alien Artifact NFT first look https://t.co/WvCQbjR0wz @opensea #icantbreathe #GeorgeFloyd #BlackLivesMatter @emiliaclarke @MiÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:36,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that wÉ?›",,,,,,,,,,,,,,,,
12/6/2021 7:36,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that wÉ?›",,,,,,,,,,,,,,,,
12/6/2021 7:34,RT @chilternbear: Animals in #Chicago attack a black bus driver for funÉ?›do #BlackLivesMatter to black thugs? É?›#America,,,,,,,,,,,,,,,,
12/6/2021 7:33,3/3) Lots of elite Indian liberals pretended to support #BlackLivesMatter when #GeorgeFloyd was killed in the US. TÉ?› https://t.co/xEUWtVSkFt,,,,,,,,,,,,,,,,
12/6/2021 7:32,"@KeshaRam @KeshaRam please don't drag #BlackLivesMatter into something that you have no clue about, or are you disrÉ?› https://t.co/kk1AhnCXew",,,,,,,,,,,,,,,,
12/6/2021 7:32,"Sat May 30 2020 Kansas City, Missouri - Police pepper spray and arrest protester holding sign WATCH:É?› https://t.co/0Q6yrJsKx2",,,,,,,,,,,,,,,,
,RT @DeepHydrangeas: This Twitter user has #BPD.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,This Twitter user supports:,,,,,,,,,,,,,,,,
,- #LGBTQA+ community,,,,,,,,,,,,,,,,
,- #blacklivesmatter,,,,,,,,,,,,,,,,
,- #Metoomovement ,,,,,,,,,,,,,,,,
12/6/2021 7:32,"- #É?›""",,,,,,,,,,,,,,,,
12/6/2021 7:30,RT @abboreed: one of my kids friends at school had unexpectedly lost their dad. if you canÉ??t donate rt pls! #BlackLivesMatter #supportblackÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:29,"RT @IDLIVA: Would #BlackLivesMatter by now if cell phone video, police body cams &amp; social media had been around since 1619? https://t.co/yKÉ?›",,,,,,,,,,,,,,,,
,@SocialistAlt    –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
12/6/2021 7:29,"@SeattleDSAÉ?› https://t.co/Uoi7eNkUmX""",,,,,,,,,,,,,,,,
12/6/2021 7:28,RT @Elelta5: Young men and boys in Tigray are being indiscriminately EXECUTED by Ethiopian and Eritrean soldiers so that they may not joinÉ?›,,,,,,,,,,,,,,,,
12/6/2021 7:28,U.S. Accuses Whole Foods of Banning Black Lives Matter Masks - Bloomberg @SocialistAlt    –??˘ Vote É??NOÉ?? immediately tÉ?› https://t.co/JG0BjU08iK,,,,,,,,,,,,,,,,
12/6/2021 7:27,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for theÉ?›,,,,,,,,,,,,,,,,
,@SocialistAlt    –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
12/6/2021 7:27,"@SeattleDSAÉ?› https://t.co/KrLyhhUkpc""",,,,,,,,,,,,,,,,
,@SocialistAlt    –??˘ Vote É??NOÉ?? immediately to #KeepKshama! @cmkshama #TeamKshama  ,,,,,,,,,,,,,,,,
, @TheStranger   ,,,,,,,,,,,,,,,,
